ts,wired,nyt,guardian,popsci,healthday,newsmed,medpage
2021-04-16 18:00:03.502957,118 (+0),532 (+0),499 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-16 19:00:03.513694,118 (+0),533 (+1),499 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-16 20:00:02.990921,118 (+0),534 (+1),499 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-16 21:00:03.600026,118 (+0),534 (+0),499 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-16 22:00:03.393678,118 (+0),534 (+0),499 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-16 23:00:03.615848,118 (+0),534 (+0),499 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 00:00:10.139201,118 (+0),534 (+0),501 (+2),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 01:00:03.284661,118 (+0),534 (+0),501 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 02:00:03.247330,118 (+0),534 (+0),502 (+1),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 03:00:03.136036,118 (+0),534 (+0),502 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 04:00:03.104262,118 (+0),534 (+0),503 (+1),271 (+0),567 (+0),821 (+0),388 (+0)
